subID,blocknum,contrast,muscle_used,perf,rt,evshowtime,respLR,corrLR,TiltSSVEP,EMG_onsite,EMGcountL,EMGcountR,EMGPtL,EMGPtR
1,1,0.05,4,3,-0.00289530000009108,0.812881199999993,2,2,2,0.289473684210526,1,3,0.343062200956938,0.140191387559809
1,1,0.1,4,1,0.745554700000412,0.954019400000107,1,1,2,0.584479665071771,2,0,0.590759569377991,NaN
1,1,0.05,4,1,1.16915259999996,1.37840929999993,1,1,2,1.00538277511962,1,1,1.01495215311005,0.914473684210526
1,1,0.05,4,6,2.43540620000022,2.6384737000003,1,1,2,2.24087918660287,0,0,NaN,NaN
1,1,0.1,4,1,0.462659799999983,0.800914800000101,2,2,1,0.398145933014354,0,5,NaN,0.128528708133971
1,1,0.05,4,1,0.791398599999866,1.00118350000002,1,1,2,0.658044258373206,5,0,0.214862440191388,NaN
1,1,0.1,4,1,0.921981100000266,1.13063230000034,1,1,1,0.68738038277512,0,0,NaN,NaN
1,1,0.1,4,1,0.899980799999867,1.1069723999999,1,1,1,0.545275119617225,0,0,NaN,NaN
1,1,0.1,4,1,0.945608200000152,1.15416030000006,2,2,2,0.717523923444976,0,1,NaN,0.567882775119617
1,1,0.1,4,1,0.839303299999756,1.04813590000003,2,2,2,0.726794258373206,0,2,NaN,0.677033492822967
1,1,0.1,4,1,0.509936599999946,0.80121360000021,2,2,2,0.456758373205742,0,1,NaN,0.47183014354067
1,1,0.05,4,2,0.956429899999875,1.16591830000016,2,1,1,0.874700956937799,0,4,NaN,0.65293062200957
1,1,0.05,4,2,0.721782099999928,0.930468199999723,1,2,2,0.518989234449761,0,0,NaN,NaN
1,1,0.1,4,1,0.956668799999989,1.16590459999998,2,2,1,0.567882775119617,0,5,NaN,0.483911483253589
1,1,0.1,4,1,1.06459089999998,1.27247639999996,2,2,1,0.807954545454546,0,4,NaN,0.770275119617225
1,1,0.05,4,1,1.08712000000014,1.29563240000016,2,2,1,0.877392344497608,6,3,0.382177033492823,0.886961722488038
1,1,0.1,44,2,1.32267619999993,1.53094489999967,1,2,2,1.14907296650718,0,0,NaN,NaN
1,1,0.1,44,1,1.48835069999996,1.69587730000012,2,2,1,1.38681220095694,0,0,NaN,NaN
1,1,0.1,44,2,1.05145249999987,1.26027559999966,1,2,2,0.98744019138756,0,0,NaN,NaN
1,1,0.05,44,1,1.04283350000014,1.2484013000003,1,1,1,0.917763157894737,0,0,NaN,NaN
1,1,0.1,44,2,1.25121799999988,1.46027980000008,2,1,2,1.10466507177033,0,0,NaN,NaN
1,1,0.05,44,2,1.15912389999994,1.3662419000002,1,2,1,0.904904306220096,0,0,NaN,NaN
1,1,0.1,44,1,1.07531440000002,1.2835227999999,2,2,1,0.970514354066986,0,0,NaN,NaN
1,1,0.05,44,2,0.816394200000104,1.02483200000006,1,2,2,0.697129186602871,0,0,NaN,NaN
1,1,0.1,44,1,1.28815510000004,1.49566649999997,1,1,2,1.15370813397129,0,0,NaN,NaN
1,1,0.1,44,1,1.15800740000032,1.36668320000035,1,1,1,1.0616028708134,0,0,NaN,NaN
1,1,0.05,44,6,1.97156799999993,2.17911409999988,1,1,2,1.82386363636364,0,0,NaN,NaN
1,1,0.1,44,1,0.746525699999893,0.954026800000065,1,1,2,0.623385167464115,0,0,NaN,NaN
1,1,0.1,44,1,0.876051599999755,1.08344450000004,1,1,2,0.623444976076555,0,0,NaN,NaN
1,1,0.05,44,1,0.94558730000017,1.15431990000025,2,2,1,0.891925837320574,0,0,NaN,NaN
1,1,0.1,44,1,1.27515489999996,1.48397169999998,2,2,1,1.10944976076555,0,0,NaN,NaN
1,1,0.05,44,1,0.887084500000128,1.09544069999993,2,2,1,0.747846889952153,0,0,NaN,NaN
1,1,0.1,4,5,1.24405939999997,1.4486453999998,2,2,2,1.12978468899522,4,1,0.114234449760766,1.125
1,1,0.1,4,1,1.32210699999996,1.53114090000008,2,2,1,0.980113636363636,0,2,NaN,0.977123205741627
1,1,0.1,4,6,2.32351069999959,2.5322243999999,2,1,1,2.11318779904306,1,2,0.689742822966507,2.10690789473684
1,1,0.05,4,6,2.6523887000003,2.86177610000004,1,1,2,2.38741028708134,5,4,0.735795454545455,2.9065490430622
1,1,0.05,4,5,1.11043710000013,1.31908590000012,2,1,2,1.08313397129187,0,2,NaN,0.424043062200957
1,1,0.1,4,6,1.83030659999986,2.03766919999998,1,1,2,1.27123205741627,2,0,0.906997607655503,NaN
1,1,0.1,4,6,1.99437829999988,2.20275959999981,1,1,1,1.83283492822967,1,0,0.57505980861244,NaN
1,1,0.05,4,1,0.722111499999755,0.930383899999924,2,2,2,0.66252990430622,0,4,NaN,0.386214114832536
1,1,0.05,4,2,0.968262599999889,1.17776860000004,1,2,2,0.600179425837321,0,0,NaN,NaN
1,1,0.05,4,6,1.60586000000012,1.81377789999988,2,1,2,1.31952751196172,1,0,1.1864533492823,NaN
1,1,0.1,4,1,0.605843199999981,0.812734899999668,1,1,2,0.348744019138756,0,0,NaN,NaN
1,1,0.05,4,5,0.900402700000086,1.10698649999995,2,2,2,0.897308612440192,0,0,NaN,NaN
1,1,0.1,4,5,1.13387480000029,1.34230060000027,2,2,1,1.07356459330144,0,1,NaN,1.06758373205742
1,1,0.1,4,1,0.78309739999986,0.989291099999718,2,2,2,0.328797846889952,0,0,NaN,NaN
1,1,0.05,4,6,1.58176219999996,1.79020469999978,2,2,2,1.46157296650718,0,1,NaN,1.46605861244019
1,1,0.05,4,1,0.391973700000108,0.800704300000234,2,2,1,0.268361244019139,0,2,NaN,0.300179425837321
