subID,blocknum,contrast,muscle_used,perf,rt,evshowtime,respLR,corrLR,TiltSSVEP
1,1,0.14,4,5,1.0397097,1.24858070000028,1,1,1
1,1,0.14,4,6,1.8643391999999,2.01418869999998,2,2,2
1,1,0.07,4,2,1.46354489999976,1.67254599999978,2,1,1
1,1,0.07,4,1,0.992522300000019,1.2014379000002,1,1,2
1,1,0.07,4,1,1.18056490000026,1.38984299999993,1,1,1
1,1,0.14,4,1,1.11018250000006,1.31895309999982,2,2,2
1,1,0.07,4,2,1.43951979999974,1.64876760000016,1,2,2
1,1,0.14,4,1,1.03959680000025,1.2485885000001,2,2,1
1,1,0.07,4,2,1.47553470000003,1.68414779999966,2,1,2
1,1,0.07,4,1,1.15718789999983,1.36635239999987,2,2,1
1,1,0.14,4,1,0.733267800000249,0.942028200000095,1,1,1
1,1,0.07,4,1,0.933414200000243,1.14241420000008,2,2,2
1,1,0.14,4,1,0.921776399999999,1.13064770000028,2,2,1
1,1,0.07,4,1,0.415450299999975,0.800868000000264,1,1,1
1,1,0.14,4,1,0.697582300000249,0.906980499999918,2,2,2
1,1,0.14,4,1,0.956990399999995,1.16583850000006,1,1,2
1,1,0.07,44,6,2.00631920000023,2.01399260000017,1,2,1
1,1,0.07,44,4,NaN,2.01394470000014,0,2,1
1,1,0.14,44,1,0.697907100000066,0.906785599999694,1,1,1
1,1,0.14,44,1,0.545254999999997,0.801129800000126,1,1,1
1,1,0.14,44,1,1.07450389999985,1.28350869999986,2,2,2
1,1,0.07,44,1,0.89796780000006,1.10731770000029,2,2,2
1,1,0.07,44,6,1.76942489999965,1.97893019999992,1,2,2
1,1,0.07,44,6,1.56977599999982,1.77873009999985,2,2,1
1,1,0.14,44,1,1.04000409999981,1.24840919999997,1,1,1
1,1,0.14,44,1,1.18072559999973,1.38969719999977,2,2,1
1,1,0.14,44,1,1.44032340000012,1.64889420000009,2,2,2
1,1,0.07,44,6,1.74609759999976,1.95515569999998,1,1,1
1,1,0.07,44,6,1.51074190000008,1.71936360000018,2,2,2
1,1,0.07,44,1,0.891127100000176,1.0952540000003,1,1,1
1,1,0.07,44,1,1.00450130000036,1.2134802000005,1,1,2
1,1,0.14,44,1,1.02802109999993,1.23671180000019,2,2,1
1,1,0.07,4,1,1.02805950000038,1.23673919999965,1,1,1
1,1,0.14,4,1,0.862876499999402,1.07166059999963,2,2,1
1,1,0.14,4,1,1.0282059000001,1.23668640000051,1,1,1
1,1,0.14,4,1,0.476165000000037,0.800893099999485,2,2,1
1,1,0.14,4,3,-0.0175415000003341,0.800905600000078,1,1,1
1,1,0.14,4,1,1.1332096999995,1.34254859999965,1,1,1
1,1,0.14,4,2,0.392003699999805,0.801066499999251,2,1,2
1,1,0.07,4,1,0.168175200000405,0.801050000000032,1,1,1
1,1,0.14,4,1,0.638866700000108,0.847973200000524,1,1,2
1,1,0.07,4,2,1.49943739999981,1.70777859999998,2,1,1
1,1,0.07,4,2,0.830656500000259,1.03656720000072,1,2,2
1,1,0.14,4,1,1.45198729999993,1.66081320000012,2,2,2
1,1,0.14,4,1,0.958653700000468,1.16609599999992,1,1,2
1,1,0.07,4,6,1.66427769999973,1.8726386999997,2,1,1
1,1,0.07,4,2,1.13370469999973,1.34257359999992,1,2,1
1,1,0.14,4,1,0.899019399999816,1.10703319999993,1,1,1
1,1,0.07,44,4,NaN,2.01383739999983,0,1,1
1,1,0.07,44,2,0.522077000000536,0.80090890000065,1,2,1
